term,label
http://www.onem2m.org/ontology/Base_Ontology#hasInput,hasInput
http://www.onem2m.org/ontology/Base_Ontology#exposesFunctionality,exposesFunctionality
http://www.onem2m.org/ontology/Base_Ontology#AreaNetwork,AreaNetwork
http://www.onem2m.org/ontology/Base_Ontology#netTechnologyCommunicationProtocol,netTechnologyCommunicationProtocol
http://www.onem2m.org/ontology/Base_Ontology#hasOutput,hasOutput
http://www.onem2m.org/ontology/Base_Ontology#refersTo,refersTo
http://www.onem2m.org/ontology/Base_Ontology#InterworkedMethod,InterworkedMethod
http://www.onem2m.org/ontology/Base_Ontology#hasOperationStateTarget,hasOperationStateTarget
http://www.onem2m.org/ontology/Base_Ontology#netTechnologyPhysicalStandard,netTechnologyPhysicalStandard
http://localhost:3030/ethereal/data#operationMode,operationMode
http://localhost:3030/ethereal/data#kcal,kcal
http://localhost:3030/ethereal/data#kcal,kcal
http://localhost:3030/ethereal/data#propHardwareVersion,propHardwareVersion
http://localhost:3030/ethereal/data#propDeviceModelName,propDeviceModelName
http://localhost:3030/ethereal/data#childResource,childResource
http://localhost:3030/ethereal/data#childResource,childResource
http://localhost:3030/ethereal/data#audioVolume,audioVolume
http://localhost:3030/ethereal/data#propHardwareVersion,propHardwareVersion
http://localhost:3030/ethereal/data#propDeviceName,propDeviceName
http://localhost:3030/ethereal/data#propDeviceSerialNum,propDeviceSerialNum
http://localhost:3030/ethereal/data#significantDigits,significantDigits
http://localhost:3030/ethereal/data#propDeviceAliasName,propDeviceAliasName
http://localhost:3030/ethereal/data#timerAnnc,timerAnnc
http://localhost:3030/ethereal/data#propHardwareVersion,propHardwareVersion
http://localhost:3030/ethereal/data#significantDigits,significantDigits
http://localhost:3030/ethereal/data#waterFlow,waterFlow
http://localhost:3030/ethereal/data#propDeviceSubModelName,propDeviceSubModelName
http://localhost:3030/ethereal/data#propDeviceAliasName,propDeviceAliasName
http://localhost:3030/ethereal/data#propDateOfManufacture,propDateOfManufacture
http://localhost:3030/ethereal/data#lqi,lqi
http://localhost:3030/ethereal/data#childResource,childResource
http://localhost:3030/ethereal/data#capacity,capacity
http://localhost:3030/ethereal/data#propDateOfManufacture,propDateOfManufacture
http://localhost:3030/ethereal/data#propDeviceName,propDeviceName
http://localhost:3030/ethereal/data#propDeviceSerialNum,propDeviceSerialNum
http://localhost:3030/ethereal/data#capacity,capacity
http://localhost:3030/ethereal/data#temperatureAnnc,temperatureAnnc
http://localhost:3030/ethereal/data#operationMode,operationMode
http://localhost:3030/ethereal/data#propDeviceManufacturer,propDeviceManufacturer
http://localhost:3030/ethereal/data#energyConsumptionAnnc,energyConsumptionAnnc
http://localhost:3030/ethereal/data#minValue,minValue
http://localhost:3030/ethereal/data#childResource,childResource
http://localhost:3030/ethereal/data#operationMode,operationMode
http://localhost:3030/ethereal/data#deactivateClockTimer,deactivateClockTimer
http://localhost:3030/ethereal/data#minValue,minValue
http://localhost:3030/ethereal/data#energyGeneration,energyGeneration
http://localhost:3030/ethereal/data#propSupportURL,propSupportURL
http://localhost:3030/ethereal/data#propDeviceFirmwareVersion,propDeviceFirmwareVersion
http://localhost:3030/ethereal/data#propManufacturerDetailsLink,propManufacturerDetailsLink
http://localhost:3030/ethereal/data#propSupportURL,propSupportURL
http://localhost:3030/ethereal/data#propDeviceFirmwareVersion,propDeviceFirmwareVersion
http://localhost:3030/ethereal/data#propCountry,propCountry
http://localhost:3030/ethereal/data#propManufacturerDetailsLink,propManufacturerDetailsLink
http://localhost:3030/ethereal/data#propDeviceModelName,propDeviceModelName
http://localhost:3030/ethereal/data#propPresentationURL,propPresentationURL
http://localhost:3030/ethereal/data#childResource,childResource
http://localhost:3030/ethereal/data#propDeviceSubModelName,propDeviceSubModelName
http://localhost:3030/ethereal/data#propDeviceModelName,propDeviceModelName
http://localhost:3030/ethereal/data#propOsVersion,propOsVersion
http://localhost:3030/ethereal/data#binarySwitchAnnc,binarySwitchAnnc
http://localhost:3030/ethereal/data#propDeviceName,propDeviceName
http://localhost:3030/ethereal/data#propOsVersion,propOsVersion
http://localhost:3030/ethereal/data#childResource,childResource
http://localhost:3030/ethereal/data#childResource,childResource
http://localhost:3030/ethereal/data#propSystemTime,propSystemTime
http://localhost:3030/ethereal/data#propDeviceManufacturer,propDeviceManufacturer
http://localhost:3030/ethereal/data#stepValue,stepValue
http://localhost:3030/ethereal/data#propDeviceManufacturer,propDeviceManufacturer
http://localhost:3030/ethereal/data#temperatureAnnc,temperatureAnnc
http://localhost:3030/ethereal/data#childResource,childResource
http://localhost:3030/ethereal/data#supportedInputSources,supportedInputSources
http://localhost:3030/ethereal/data#doorStatus,doorStatus
http://localhost:3030/ethereal/data#childResource,childResource
http://localhost:3030/ethereal/data#waterLevel,waterLevel
http://localhost:3030/ethereal/data#propDateOfManufacture,propDateOfManufacture
http://localhost:3030/ethereal/data#propDeviceName,propDeviceName
http://localhost:3030/ethereal/data#childResource,childResource
http://localhost:3030/ethereal/data#propCountry,propCountry
http://localhost:3030/ethereal/data#propDeviceAliasName,propDeviceAliasName
http://localhost:3030/ethereal/data#temperature,temperature
http://localhost:3030/ethereal/data#boiler,boiler
http://localhost:3030/ethereal/data#propSupportURL,propSupportURL
http://localhost:3030/ethereal/data#propDeviceAliasName,propDeviceAliasName
http://localhost:3030/ethereal/data#childResource,childResource
http://localhost:3030/ethereal/data#propSupportURL,propSupportURL
http://localhost:3030/ethereal/data#propHardwareVersion,propHardwareVersion
http://localhost:3030/ethereal/data#propDeviceName,propDeviceName
http://localhost:3030/ethereal/data#propHardwareVersion,propHardwareVersion
http://localhost:3030/ethereal/data#binarySwitchAnnc,binarySwitchAnnc
http://localhost:3030/ethereal/data#propDateOfManufacture,propDateOfManufacture
http://localhost:3030/ethereal/data#propSystemTime,propSystemTime
http://localhost:3030/ethereal/data#binarySwitch,binarySwitch
http://localhost:3030/ethereal/data#colourAnnc,colourAnnc
http://localhost:3030/ethereal/data#childResource,childResource
http://localhost:3030/ethereal/data#propDeviceType,propDeviceType
http://localhost:3030/ethereal/data#description,description
http://localhost:3030/ethereal/data#propDeviceType,propDeviceType
http://localhost:3030/ethereal/data#faultDetection,faultDetection
http://localhost:3030/ethereal/data#description,description
http://localhost:3030/ethereal/data#propSupportURL,propSupportURL
http://localhost:3030/ethereal/data#propSupportURL,propSupportURL
http://localhost:3030/ethereal/data#propDeviceName,propDeviceName
http://localhost:3030/ethereal/data#propProtocol,propProtocol
http://localhost:3030/ethereal/data#propProtocol,propProtocol
http://localhost:3030/ethereal/data#propProtocol,propProtocol
http://localhost:3030/ethereal/data#propProtocol,propProtocol
http://localhost:3030/ethereal/data#batteryAnnc,batteryAnnc
http://localhost:3030/ethereal/data#propDeviceModelName,propDeviceModelName
http://localhost:3030/ethereal/data#operationMode,operationMode
http://localhost:3030/ethereal/data#kcal,kcal
http://localhost:3030/ethereal/data#propDeviceModelName,propDeviceModelName
http://localhost:3030/ethereal/data#operationMode,operationMode
http://localhost:3030/ethereal/data#childResource,childResource
http://localhost:3030/ethereal/data#temperature,temperature
